SWP,abund,Niche.Breadth,method,sampcov,SpeciesRichness,Shannon,Simpson
1127,39,Generalist,11.347936086797496,0.7520997447106545,6.021408203532727,5.104887406547528,4.352964828633718
1133,51,Generalist,1,0.8486274509803932,1,1,1
1134,40,Generalist,6.8743955672368235,0.7520996059138297,3.767488979869967,3.2622135130630032,2.8528518164613352
1204,69,Generalist,10.181202757065103,0.7521005682228139,5.470554683588871,4.712036988688636,4.101726064433138
1204,69,Specialist,23,1,3,2.6804498024509735,2.415525114155251
1206,34,Generalist,3.489045517582043,0.7521004488271262,2.1188626233604424,1.9066398102074675,1.7270221971670763
1209,46,Generalist,5.278681941903483,0.7521002684547677,2.8125402339296945,2.3988149739056537,2.079233647575901
1209,46,Specialist,14,1,2,1.6813210759468074,1.5076923076923079
1220,56,Generalist,18.411003118838046,0.7520998784764196,8.565953995655994,6.508263437906163,5.027661332437278
1220,56,Specialist,1,1,1,1,1
1227,27,Generalist,11.064404483676048,0.7521003577192071,5.818799161586853,4.892477600739368,4.140083685961465
1227,27,Specialist,1,1,1,1,1
1236,130,Generalist,3.43943892097554,0.7520985415845958,2.0899827666241495,1.8826457174036606,1.7075279272911557
1236,130,Specialist,23,1,1,1,1
1306,80,Generalist,6.229639876028547,0.7521004927758368,3.3316622616593246,2.828327371520865,2.4277116865921804
1306,80,Specialist,15,1,1,1,1
1310,121,Generalist,6.695214062254368,0.7520995936713665,3.6094070820160153,3.095068076396788,2.6832667746462615
1310,121,Specialist,10,1,1,1,1
1314,18,Generalist,6.537560445272876,0.7521000625851907,2.940921869611959,2.287089982087413,1.8873461024422995
1347,38,Generalist,11.395599228727429,0.7521001020586162,5.366911872248616,4.26652556372645,3.5076566134991114
1347,38,Specialist,1,1,1,1,1
1352,84,Generalist,10.552941168330662,0.752099962976996,4.791497527264324,3.5884888738493723,2.791848794374453
1352,84,Specialist,19,1,2,1.2289892094880017,1.110769230769231
1428,82,Generalist,6.037136450342662,0.7520996758059024,3.194224311860684,2.700621104375469,2.3148523299248813
1428,82,Specialist,8,1,1,1,1
1501,107,Generalist,9.656950868305332,0.7520999448550452,4.70982788183334,3.7486361807380604,3.0378118243888323
1501,107,Specialist,32,1,1,1,1
1610,11,Generalist,11.001434012680356,0.7521,4.000372727272727,2.4244663923653436,1.8059891223312339
1616,40,Generalist,10.794430773433694,0.7520998762690967,5.892986922878505,5.085726789234656,4.410624860110392
1616,40,Specialist,14,1,1,1,1
1622,18,Generalist,1,0.790849673202614,1,1,1
1809,76,Generalist,12.054045617252715,0.7520998810184067,6.101831386847357,5.069725138115917,4.278580760562597
1809,76,Specialist,2,1,1,1,1
1914,53,Generalist,9.622943754806426,0.7520997859586034,5.056915898498001,4.245928572647406,3.5882059204196013
1914,53,Specialist,13,1,1,1,1
